Species,Order,AvgLifespan,MaxLifespan,Common name, 
Microcebus murinus,Primates,12.5,18.2,Gray mouse lemur,
Theropithecus gelada,Primates,20,36,Gelada baboon,
Callimico goeldii,Primates,15,22.2,Goeldi's monkey,
Gorilla gorilla,Primates,42.5,60.1,Gorilla,
Nomascus leucogenys,Primates,28,44.1,White-cheeked gibbon,
Pan troglodytes,Primates,45,68,Chimpanzee,
Saimiri boliviensis,Primates,17.5,30.3,Bolivian squirrel monkey,
Carlito syrichta,Primates,7,16,Philippine tarsier,
Ateles paniscus,Primates,28.5,46,Black spider monkey,
Mandrillus leucophaeus,Primates,28,39,Drill,
Macaca fuscata,Primates,27.5,38.5,Japanese macaque,
Macaca fascicularis,Primates,22.5,39,Crab-eating macaque,
Pan paniscus,Primates,30,55,Bonobo,
Cebus capucinus,Primates,37,54,Panamanian white-faced capuchin,
Pongo pygmaeus,Primates,40,59,Orangutan,
Colobus angolensis,Primates,20,35.3,Angolan colobus,
Prolemur simus,Primates,17,17.6,Greater bamboo lemur,
Homo sapiens,Primates ,65,122.5,Human,
Macaca mulatta,Primates ,27.5,40,Rhesus monkey,
Otolemur garnettii,Primates ,15,20,Small-eared galago,
Callithrix jacchus,Primates ,11,22.8,White-tufted-ear marmoset,
